"","sample","batch","78.02055","452.00345","138.96337","73.53838","385.12885","237.02815","222.02744","399.33298","394.23541","428.03716","207.01423","210.06077","397.06669","315.03262","174.08419","438.14243","161.0295","173.98804","133.07219","407.14259","451.97517","167.02071","500.2254","133.06077","553.32542","170.0326","211.10945","203.05255","170.06172","324.24879","245.13234","102.09132","263.13186","386.21715","228.99584","470.9348","242.07889","370.19102","336.94224","174.9828","136.0474","144.10058"
"10","batch02_QC10",1,14898,26583,6330.9,26829,56385,111850,25444,46429,35366,22302,676650,10427,23144,59400,22446,25962,52900,7387.5,6247.4,15393,24880,50977,8248.7,49637,12455,2723200,16068,4249100,29142,29934,12350,24948,67270,13102,25827,16838,849430,9015.3,17134,14223,155280,9101.1
"11","batch02_QC11",1,16307,19352,7815.4,30627,48409,108220,24316,40724,33226,20733,588730,4544.5,23014,55522,26842,23394,51575,9471.7,5117.9,15887,28335,50703,5545.7,44187,13233,2640300,15332,4238700,29203,26377,13609,31126,71130,40198,29110,20346,794410,22370,17789,11379,163080,9425.6
"12","batch03_QC12",1,9955.1,13954,7829.1,27063,58744,164860,29902,40694,38927,19384,619390,9981,29179,49833,28443,26231,43003,9197,5728.8,18103,28381,47664,5964,45431,14383,2522200,16518,4201900,25799,30722,11470,26697,63458,32089,28089,23516,950080,18702,21364,11938,153800,9703.1
"13","batch03_QC13",1,16029,19066,5256,28383,53251,137720,26008,40500,37576,19778,650470,10636,26516,58196,26411,20378,44359,9164.2,5788.3,13909,29824,49902,4251.4,45714,7685.6,2734500,14989,4329500,28889,25825,11329,27316,70815,18099,24791,25851,956600,9351.7,18256,13387,169430,8724.4
"14","batch03_QC14",1,13225,20446,7046.7,22429,49415,105610,21531,40246,33375,19933,737850,8187.8,20770,54215,25912,23794,54143,12551,3566.5,14480,34868,53423,4275.9,43112,11297,2548500,16971,4319900,32592,30062,8619.9,27205,59719,34946,23167,21429,874660,16774,19675,13494,154020,7538.3
"15","batch03_QC15",1,14555,18811,5390.2,32322,48582,115490,26556,43595,34948,19010,625620,10031,25693,63229,27644,24167,51317,12823,6277.9,16185,29245,49989,6377.5,47670,15069,2641000,13699,4362200,26884,27784,10293,29501,64908,40241,24089,19920,839260,19471,19092,12107,160080,9740.2
"16","batch04_QC16",1,16273,23170,6516.7,23641,57210,133270,26432,50311,38014,20691,721750,10242,26787,51444,25830,25579,61581,9681.1,5747.6,14590,24638,53261,7460.1,44672,10270,3037800,12349,4250900,26241,27263,15735,26832,69145,5990.9,26716,15869,882350,3382.9,17518,13414,182240,9728.3
"17","batch04_QC17",1,15776,16283,7341.8,24780,54030,148610,24393,37237,33706,18140,656310,9886.9,26399,49928,30203,23280,48332,10334,6014.1,13927,29760,48644,4229.5,41508,14321,2649000,15650,4239100,28346,30619,12639,26782,61869,24574,24391,23005,1021300,12402,17931,13208,175600,8336.8
"18","batch04_QC18",1,8281.9,17648,7556.2,23151,55209,138430,24634,48212,35145,21582,620940,7431.4,26391,43944,22724,23575,54884,11352,6653,16512,22131,46948,7287.6,47453,8041.5,3084000,16795,4355000,33619,26899,18462,30792,76031,20844,27299,18840,742700,10245,17732,14639,162440,8796.7
"19","batch04_QC19",1,12835,23072,6943.7,28154,54804,130190,25829,50102,31304,19667,616180,9392.5,30082,51126,24989,23705,62458,10886,7178,14512,26283,49277,4108.2,53801,15069,2841600,12434,4395800,28633,26611,11879,30650,71081,37911,24079,19017,745360,20709,18039,12322,175420,10125
